"activity" "subject" "mean" "s.d"
"LAYING" 1 -0.607522391836014 0.542294404739403
"LAYING" 2 -0.639973837827844 0.543318302012276
"LAYING" 3 -0.641445804875381 0.53124691328834
"LAYING" 4 -0.630875080725603 0.538918856382756
"LAYING" 5 -0.631793505517319 0.544391929156741
"LAYING" 6 -0.619421431071453 0.533051183737078
"LAYING" 7 -0.628303269447471 0.542283798100629
"LAYING" 8 -0.627089533537997 0.54552114969283
"LAYING" 9 -0.628414047268328 0.530063039309266
"LAYING" 10 -0.633606314208568 0.538143814511992
"LAYING" 11 -0.643553031373099 0.539562164233576
"LAYING" 12 -0.63012919397725 0.528718342661708
"LAYING" 13 -0.624337936876007 0.553755547011914
"LAYING" 14 -0.628355645282404 0.529959358732366
"LAYING" 15 -0.639883147448173 0.531265854159869
"LAYING" 16 -0.635906117499551 0.540805566032016
"LAYING" 17 -0.629876420657766 0.544111902566298
"LAYING" 18 -0.645039855011435 0.539909038662556
"LAYING" 19 -0.632999218754884 0.546461684255782
"LAYING" 20 -0.644397438696908 0.532311298923294
"LAYING" 21 -0.63110876443376 0.543398484551232
"LAYING" 22 -0.632109081483277 0.534082415245892
"LAYING" 23 -0.628089473591726 0.551576627950253
"LAYING" 24 -0.634203387560794 0.541737906273239
"LAYING" 25 -0.589506698496036 0.545450415711338
"LAYING" 26 -0.640679888089531 0.545536215521252
"LAYING" 27 -0.645993647892745 0.539991225164833
"LAYING" 28 -0.640518710327799 0.530976406623764
"LAYING" 29 -0.646324698842316 0.547384622922697
"LAYING" 30 -0.642625296795821 0.529010124054845
"SITTING" 1 -0.633405230612481 0.546477904027143
"SITTING" 2 -0.640597914078914 0.536914141147994
"SITTING" 3 -0.622780836987975 0.535481364875035
"SITTING" 4 -0.627074988752137 0.530636923654938
"SITTING" 5 -0.627014833570021 0.531734627480468
"SITTING" 6 -0.625412957710496 0.528560255624084
"SITTING" 7 -0.628833138374792 0.536419278331034
"SITTING" 8 -0.637726458982249 0.537875923565333
"SITTING" 9 -0.627530823653232 0.524475751851574
"SITTING" 10 -0.640078551091241 0.542251226544214
"SITTING" 11 -0.636081608692102 0.53609946156127
